lead_id,lead_created_date,lead_source,agent_id,agent_name,property_type,neighborhood,listing_price,funnel_stage,closed,close_date,days_to_close,commission_rate,commission_amount,lost_reason,days_since_last_contact,at_risk_lead
L10056,2025-08-26,Zillow,A110,Ishita Bose,Single Family,Harborview,585333.52,Showing Scheduled,False,,,,,Chose competitor,5.0,False
L10057,2025-09-30,Referral,A110,Ishita Bose,Single Family,Pinecrest,324621.81,Showing Completed,False,,,,,Went cold / unresponsive,11.0,False
L10058,2025-08-24,Walk-in,A107,Vikram Singh,Single Family,Pinecrest,405322.18,Showing Completed,False,,,,,Went cold / unresponsive,4.0,False
L10059,2025-10-04,Social Media,A109,Aditya Verma,Single Family,Sunset Hills,544509.35,Offer Made,False,,,,,Price too high,22.0,True
L10060,2025-12-01,Referral,A107,Vikram Singh,Single Family,Lakeview,528318.79,Showing Completed,False,,,,,Still in progress,8.0,False
L10061,2025-04-28,Website,A104,Sneha Rao,Townhouse,Sunset Hills,348886.49,Offer Made,False,,,,,Went cold / unresponsive,0.0,False
L10062,2025-01-10,Zillow,A113,Rahul Chawla,Single Family,Downtown Core,592715.79,Showing Completed,False,,,,,Price too high,1.0,False
L10063,2025-04-04,Referral,A101,Rohan Mehta,Condo,Sunset Hills,259464.01,Contacted,False,,,,,Went cold / unresponsive,5.0,False
L10064,2025-03-01,Social Media,A114,Tanvi Joshi,Single Family,Downtown Core,618491.97,Offer Made,False,,,,,Price too high,16.0,False
L10065,2025-02-11,Website,A107,Vikram Singh,Single Family,Oakridge,346996.18,Contacted,False,,,,,Financing fell through,4.0,False
L10066,2025-11-05,Zillow,A104,Sneha Rao,Townhouse,Pinecrest,203501.08,Lead (Uncontacted),False,,,,,Never contacted,9.0,False
L10067,2025-02-11,Referral,A113,Rahul Chawla,Condo,Harborview,429319.51,Contacted,False,,,,,Went cold / unresponsive,7.0,False
L10068,2025-10-16,Social Media,A111,Sameer Khan,Single Family,Riverside Heights,616672.35,Contacted,False,,,,,Went cold / unresponsive,20.0,False
L10069,2025-08-04,Zillow,A112,Pooja Reddy,Single Family,Lakeview,521939.49,Showing Completed,False,,,,,Financing fell through,14.0,False
L10070,2025-01-11,Referral,A108,Neha Gupta,Condo,Maple Grove,228950.97,Lead (Uncontacted),False,,,,,Never contacted,4.0,False
L10071,2025-08-06,Open House,A106,Divya Kapoor,Single Family,Downtown Core,472560.95,Offer Made,False,,,,,Still in progress,8.0,False
L10072,2025-02-20,Website,A113,Rahul Chawla,Townhouse,Maple Grove,287962.06,Contacted,False,,,,,Still in progress,5.0,False
L10073,2025-11-09,Referral,A114,Tanvi Joshi,Townhouse,Sunset Hills,419673.17,Showing Completed,False,,,,,Chose competitor,13.0,False
L10074,2025-03-16,Open House,A111,Sameer Khan,Condo,Downtown Core,468282.17,Lead (Uncontacted),False,,,,,Never contacted,6.0,False
L10075,2025-12-30,Zillow,A113,Rahul Chawla,Condo,Downtown Core,236400.51,Lead (Uncontacted),False,,,,,Never contacted,2.0,False
L10076,2025-05-30,Website,A102,Ananya Iyer,Single Family,Riverside Heights,627103.46,Showing Completed,False,,,,,Financing fell through,8.0,False
L10077,2025-09-14,Social Media,A107,Vikram Singh,Single Family,Pinecrest,252472.65,Showing Completed,False,,,,,Chose competitor,6.0,False
L10078,2025-04-23,Website,A105,Arjun Nair,Townhouse,Downtown Core,616222.79,Contacted,False,,,,,Price too high,2.0,False
L10079,2025-06-11,Social Media,A113,Rahul Chawla,Single Family,Maple Grove,208005.39,Showing Completed,False,,,,,Went cold / unresponsive,0.0,False
L10080,2025-08-17,Open House,A103,Karan Malhotra,Condo,Oakridge,164807.72,Contacted,False,,,,,Chose competitor,1.0,False
L10081,2025-06-14,Open House,A110,Ishita Bose,Townhouse,Downtown Core,582658.02,Closed,True,2025-08-08,55.0,0.028,16314.42,,,False
L10082,2025-01-02,Referral,A112,Pooja Reddy,Condo,Maple Grove,288349.55,Lead (Uncontacted),False,,,,,Never contacted,9.0,False
L10083,2025-09-13,Zillow,A112,Pooja Reddy,Single Family,Pinecrest,429462.16,Showing Completed,False,,,,,Went cold / unresponsive,1.0,False
L10084,2025-08-12,Social Media,A106,Divya Kapoor,Townhouse,Harborview,329579.78,Showing Completed,False,,,,,Went cold / unresponsive,2.0,False
L10085,2025-10-20,Referral,A112,Pooja Reddy,Multi-Family,Maple Grove,560470.12,Contacted,False,,,,,Price too high,8.0,False
L10086,2025-03-17,Open House,A108,Neha Gupta,Condo,Maple Grove,295819.66,Showing Completed,False,,,,,Still in progress,9.0,False
L10087,2025-07-09,Website,A109,Aditya Verma,Single Family,Oakridge,336226.97,Showing Completed,False,,,,,Price too high,9.0,False
L10088,2025-06-13,Open House,A105,Arjun Nair,Single Family,Harborview,658340.52,Showing Completed,False,,,,,Went cold / unresponsive,27.0,True
L10089,2025-12-03,Website,A103,Karan Malhotra,Single Family,Lakeview,485580.69,Contacted,False,,,,,Chose competitor,14.0,False
L10090,2025-03-02,Referral,A101,Rohan Mehta,Townhouse,Riverside Heights,403532.87,Showing Completed,False,,,,,Went cold / unresponsive,11.0,False
L10091,2025-10-30,Open House,A108,Neha Gupta,Single Family,Lakeview,517196.39,Contacted,False,,,,,Went cold / unresponsive,10.0,False
L10092,2025-01-25,Walk-in,A110,Ishita Bose,Condo,Harborview,430184.47,Lead (Uncontacted),False,,,,,Never contacted,10.0,False
L10093,2025-10-09,Website,A100,Priya Sharma,Condo,Harborview,392148.59,Contacted,False,,,,,Price too high,11.0,False
L10094,2025-03-23,Open House,A113,Rahul Chawla,Multi-Family,Pinecrest,522841.43,Showing Completed,False,,,,,Went cold / unresponsive,10.0,False
L10095,2025-07-02,Zillow,A108,Neha Gupta,Condo,Downtown Core,329815.21,Contacted,False,,,,,Still in progress,7.0,False
L10096,2025-04-18,Website,A110,Ishita Bose,Condo,Oakridge,292746.39,Showing Scheduled,False,,,,,Price too high,20.0,False
L10097,2025-08-24,Zillow,A113,Rahul Chawla,Townhouse,Pinecrest,449081.57,Lead (Uncontacted),False,,,,,Never contacted,14.0,False
L10098,2025-06-26,Zillow,A106,Divya Kapoor,Townhouse,Sunset Hills,300197.3,Closed,True,2025-08-09,44.0,0.028,8405.52,,,False
L10099,2025-10-20,Zillow,A109,Aditya Verma,Single Family,Maple Grove,415821.3,Showing Completed,False,,,,,Still in progress,6.0,False
L10100,2025-11-06,Website,A102,Ananya Iyer,Multi-Family,Downtown Core,978355.04,Offer Made,False,,,,,Price too high,15.0,False
L10101,2025-01-09,Zillow,A100,Priya Sharma,Multi-Family,Riverside Heights,658220.09,Lead (Uncontacted),False,,,,,Never contacted,52.0,True
L10102,2025-03-30,Referral,A105,Arjun Nair,Townhouse,Sunset Hills,476823.29,Contacted,False,,,,,Price too high,20.0,False
L10103,2025-08-14,Open House,A101,Rohan Mehta,Townhouse,Riverside Heights,374055.71,Contacted,False,,,,,Went cold / unresponsive,8.0,False
L10104,2025-02-06,Referral,A106,Divya Kapoor,Single Family,Harborview,522859.31,Contacted,False,,,,,Price too high,19.0,False
L10105,2025-11-19,Zillow,A106,Divya Kapoor,Condo,Maple Grove,270889.93,Contacted,False,,,,,Went cold / unresponsive,3.0,False
L10106,2025-09-26,Social Media,A111,Sameer Khan,Condo,Riverside Heights,333227.04,Contacted,False,,,,,Went cold / unresponsive,9.0,False
L10107,2025-09-06,Walk-in,A102,Ananya Iyer,Townhouse,Maple Grove,307381.5,Contacted,False,,,,,Price too high,4.0,False
L10108,2025-08-12,Website,A102,Ananya Iyer,Townhouse,Sunset Hills,290380.51,Closed,True,2025-10-08,57.0,0.028,8130.65,,,False
L10109,2025-08-12,Referral,A112,Pooja Reddy,Single Family,Downtown Core,636337.44,Showing Completed,False,,,,,Went cold / unresponsive,1.0,False
L10110,2025-07-12,Walk-in,A113,Rahul Chawla,Single Family,Lakeview,593181.01,Showing Scheduled,False,,,,,Changed mind,11.0,False
L10111,2025-02-27,Zillow,A109,Aditya Verma,Condo,Lakeview,300735.23,Showing Completed,False,,,,,Price too high,19.0,False
L10112,2025-05-10,Zillow,A112,Pooja Reddy,Single Family,Harborview,345976.59,Showing Completed,False,,,,,Changed mind,0.0,False
L10113,2025-09-14,Website,A113,Rahul Chawla,Townhouse,Lakeview,271301.65,Contacted,False,,,,,Went cold / unresponsive,2.0,False
L10114,2025-07-27,Social Media,A110,Ishita Bose,Condo,Lakeview,269640.62,Closed,True,2025-10-04,69.0,0.028,7549.94,,,False
L10115,2025-11-12,Referral,A111,Sameer Khan,Single Family,Harborview,302138.33,Lead (Uncontacted),False,,,,,Never contacted,2.0,False
L10116,2025-06-15,Zillow,A100,Priya Sharma,Condo,Sunset Hills,245909.83,Offer Made,False,,,,,Financing fell through,41.0,True
L10117,2025-04-05,Referral,A106,Divya Kapoor,Condo,Maple Grove,352229.03,Contacted,False,,,,,Went cold / unresponsive,30.0,True
L10118,2025-03-27,Social Media,A110,Ishita Bose,Townhouse,Riverside Heights,424724.41,Showing Completed,False,,,,,Price too high,7.0,False
L10119,2025-04-13,Social Media,A101,Rohan Mehta,Townhouse,Maple Grove,255652.68,Contacted,False,,,,,Went cold / unresponsive,16.0,False
L10120,2025-08-11,Open House,A102,Ananya Iyer,Single Family,Downtown Core,795539.94,Contacted,False,,,,,Still in progress,12.0,False
L10121,2025-03-25,Walk-in,A104,Sneha Rao,Townhouse,Pinecrest,382183.63,Closed,True,2025-05-05,41.0,0.028,10701.14,,,False
L10122,2025-10-28,Website,A108,Neha Gupta,Condo,Riverside Heights,273485.31,Showing Completed,False,,,,,Still in progress,5.0,False
L10123,2025-07-21,Referral,A102,Ananya Iyer,Single Family,Downtown Core,613165.94,Offer Made,False,,,,,Price too high,32.0,True
L10124,2025-12-30,Zillow,A112,Pooja Reddy,Condo,Lakeview,314654.54,Showing Completed,False,,,,,Went cold / unresponsive,0.0,False
L10125,2025-07-05,Zillow,A109,Aditya Verma,Condo,Lakeview,217469.13,Lead (Uncontacted),False,,,,,Never contacted,2.0,False
L10126,2025-10-09,Website,A109,Aditya Verma,Townhouse,Downtown Core,442172.53,Contacted,False,,,,,Price too high,2.0,False
L10127,2025-04-21,Social Media,A102,Ananya Iyer,Townhouse,Oakridge,242501.0,Contacted,False,,,,,Went cold / unresponsive,1.0,False
L10128,2025-08-17,Website,A104,Sneha Rao,Single Family,Downtown Core,593707.41,Closed,True,2025-10-07,51.0,0.028,16623.81,,,False
L10129,2025-12-16,Zillow,A104,Sneha Rao,Single Family,Lakeview,437092.82,Showing Completed,False,,,,,Chose competitor,4.0,False
L10130,2025-02-13,Zillow,A109,Aditya Verma,Single Family,Lakeview,562998.59,Contacted,False,,,,,Went cold / unresponsive,7.0,False
L10131,2025-01-20,Referral,A114,Tanvi Joshi,Single Family,Oakridge,351247.28,Contacted,False,,,,,Chose competitor,1.0,False
L10132,2025-07-04,Referral,A101,Rohan Mehta,Condo,Lakeview,315725.15,Closed,True,2025-08-24,51.0,0.028,8840.3,,,False
L10133,2025-12-07,Referral,A101,Rohan Mehta,Single Family,Maple Grove,443009.42,Contacted,False,,,,,Financing fell through,20.0,False
L10134,2025-04-24,Referral,A110,Ishita Bose,Townhouse,Maple Grove,261754.42,Contacted,False,,,,,Still in progress,14.0,False
L10135,2025-02-22,Referral,A111,Sameer Khan,Multi-Family,Riverside Heights,780480.01,Contacted,False,,,,,Chose competitor,1.0,False
L10136,2025-06-25,Website,A104,Sneha Rao,Townhouse,Riverside Heights,337560.12,Offer Made,False,,,,,Went cold / unresponsive,25.0,True
L10137,2025-12-10,Zillow,A113,Rahul Chawla,Townhouse,Pinecrest,377039.79,Contacted,False,,,,,Chose competitor,9.0,False
L10138,2025-11-01,Website,A108,Neha Gupta,Single Family,Oakridge,340202.44,Showing Completed,False,,,,,Price too high,10.0,False
L10139,2025-04-27,Walk-in,A107,Vikram Singh,Condo,Harborview,200238.94,Showing Completed,False,,,,,Chose competitor,6.0,False
L10140,2025-01-21,Zillow,A108,Neha Gupta,Townhouse,Lakeview,528226.25,Showing Completed,False,,,,,Chose competitor,26.0,True
L10141,2025-02-21,Referral,A113,Rahul Chawla,Single Family,Maple Grove,427038.7,Contacted,False,,,,,Went cold / unresponsive,8.0,False
L10142,2025-05-12,Referral,A110,Ishita Bose,Single Family,Oakridge,285668.95,Showing Completed,False,,,,,Went cold / unresponsive,2.0,False
L10143,2025-09-20,Open House,A111,Sameer Khan,Single Family,Harborview,544070.0,Closed,True,2025-11-12,53.0,0.028,15233.96,,,False
L10144,2025-05-01,Website,A107,Vikram Singh,Condo,Maple Grove,289922.62,Contacted,False,,,,,Chose competitor,2.0,False
L10145,2025-06-16,Walk-in,A104,Sneha Rao,Townhouse,Lakeview,286727.97,Closed,True,2025-08-07,52.0,0.028,8028.38,,,False
L10146,2025-10-20,Social Media,A103,Karan Malhotra,Single Family,Harborview,473773.0,Contacted,False,,,,,Went cold / unresponsive,2.0,False
L10147,2025-05-26,Zillow,A108,Neha Gupta,Condo,Maple Grove,297935.02,Showing Completed,False,,,,,Changed mind,1.0,False
L10148,2025-04-19,Referral,A110,Ishita Bose,Condo,Pinecrest,181713.26,Showing Scheduled,False,,,,,Price too high,3.0,False
L10149,2025-01-27,Open House,A104,Sneha Rao,Single Family,Riverside Heights,571624.72,Showing Completed,False,,,,,Chose competitor,6.0,False
L10150,2025-07-28,Referral,A100,Priya Sharma,Single Family,Sunset Hills,492984.84,Lead (Uncontacted),False,,,,,Never contacted,5.0,False
L10151,2025-11-07,Zillow,A108,Neha Gupta,Single Family,Oakridge,391620.46,Showing Completed,False,,,,,Chose competitor,10.0,False
L10152,2025-04-25,Walk-in,A113,Rahul Chawla,Single Family,Lakeview,385436.78,Contacted,False,,,,,Still in progress,7.0,False
L10153,2025-09-29,Walk-in,A107,Vikram Singh,Condo,Maple Grove,286357.56,Closed,True,2025-11-18,50.0,0.028,8018.01,,,False
L10154,2025-06-29,Zillow,A105,Arjun Nair,Single Family,Riverside Heights,351478.59,Contacted,False,,,,,Still in progress,1.0,False
L10155,2025-01-12,Walk-in,A108,Neha Gupta,Condo,Lakeview,336163.04,Lead (Uncontacted),False,,,,,Never contacted,1.0,False
L10156,2025-01-07,Walk-in,A105,Arjun Nair,Townhouse,Sunset Hills,296972.55,Offer Made,False,,,,,Chose competitor,37.0,True
L10157,2025-10-16,Website,A112,Pooja Reddy,Single Family,Sunset Hills,452807.94,Lead (Uncontacted),False,,,,,Never contacted,6.0,False
L10158,2025-01-25,Website,A110,Ishita Bose,Single Family,Downtown Core,521354.54,Offer Made,False,,,,,Still in progress,20.0,False
L10159,2025-09-11,Open House,A112,Pooja Reddy,Single Family,Downtown Core,647536.69,Showing Completed,False,,,,,Price too high,2.0,False
L10160,2025-03-21,Zillow,A110,Ishita Bose,Condo,Pinecrest,224176.06,Closed,True,2025-04-30,40.0,0.028,6276.93,,,False
L10161,2025-04-26,Open House,A102,Ananya Iyer,Condo,Sunset Hills,227383.77,Contacted,False,,,,,Chose competitor,7.0,False
L10162,2025-07-02,Zillow,A102,Ananya Iyer,Single Family,Oakridge,343572.2,Offer Made,False,,,,,Price too high,7.0,False
L10163,2025-07-07,Open House,A100,Priya Sharma,Single Family,Oakridge,349137.99,Closed,True,2025-08-14,38.0,0.028,9775.86,,,False
L10164,2025-02-11,Social Media,A103,Karan Malhotra,Condo,Downtown Core,305741.46,Contacted,False,,,,,Changed mind,15.0,False
L10165,2025-04-07,Open House,A110,Ishita Bose,Single Family,Oakridge,253312.54,Showing Scheduled,False,,,,,Financing fell through,10.0,False
L10166,2025-06-22,Website,A113,Rahul Chawla,Condo,Pinecrest,246384.9,Contacted,False,,,,,Went cold / unresponsive,11.0,False
L10167,2025-06-01,Referral,A101,Rohan Mehta,Townhouse,Oakridge,339779.24,Showing Completed,False,,,,,Changed mind,35.0,True
L10168,2025-12-18,Social Media,A111,Sameer Khan,Single Family,Maple Grove,419292.28,Showing Completed,False,,,,,Still in progress,15.0,False
L10169,2025-02-18,Open House,A114,Tanvi Joshi,Condo,Downtown Core,354270.13,Showing Completed,False,,,,,Financing fell through,22.0,True
L10170,2025-12-17,Zillow,A101,Rohan Mehta,Condo,Maple Grove,335695.02,Contacted,False,,,,,Price too high,0.0,False
L10171,2025-11-11,Referral,A108,Neha Gupta,Single Family,Harborview,722832.41,Offer Made,False,,,,,Went cold / unresponsive,6.0,False
L10172,2025-05-29,Referral,A114,Tanvi Joshi,Condo,Sunset Hills,271577.07,Lead (Uncontacted),False,,,,,Never contacted,13.0,False
L10173,2025-03-27,Zillow,A102,Ananya Iyer,Single Family,Harborview,573771.96,Showing Completed,False,,,,,Price too high,11.0,False
L10174,2025-06-20,Referral,A114,Tanvi Joshi,Condo,Pinecrest,274427.95,Contacted,False,,,,,Went cold / unresponsive,1.0,False
L10175,2025-05-08,Referral,A101,Rohan Mehta,Condo,Riverside Heights,395587.66,Showing Completed,False,,,,,Went cold / unresponsive,21.0,False
L10176,2025-10-29,Open House,A102,Ananya Iyer,Townhouse,Maple Grove,338154.94,Showing Completed,False,,,,,Went cold / unresponsive,0.0,False
L10177,2025-05-01,Walk-in,A100,Priya Sharma,Townhouse,Sunset Hills,254288.91,Lead (Uncontacted),False,,,,,Never contacted,4.0,False
L10178,2025-04-21,Zillow,A102,Ananya Iyer,Single Family,Harborview,440717.14,Contacted,False,,,,,Still in progress,8.0,False
L10179,2025-07-21,Zillow,A106,Divya Kapoor,Condo,Oakridge,238250.71,Offer Made,False,,,,,Financing fell through,10.0,False
L10180,2025-06-07,Referral,A108,Neha Gupta,Condo,Lakeview,306892.56,Showing Scheduled,False,,,,,Financing fell through,0.0,False
L10181,2025-04-27,Referral,A104,Sneha Rao,Townhouse,Sunset Hills,299208.95,Closed,True,2025-05-29,32.0,0.028,8377.85,,,False
L10182,2025-11-09,Open House,A108,Neha Gupta,Townhouse,Downtown Core,480998.55,Lead (Uncontacted),False,,,,,Never contacted,10.0,False
L10183,2025-03-31,Zillow,A109,Aditya Verma,Townhouse,Downtown Core,568437.34,Closed,True,2025-05-28,58.0,0.028,15916.25,,,False
L10184,2025-11-16,Referral,A112,Pooja Reddy,Single Family,Riverside Heights,469867.53,Contacted,False,,,,,Financing fell through,6.0,False
L10185,2025-05-09,Referral,A101,Rohan Mehta,Townhouse,Maple Grove,247365.57,Closed,True,2025-07-03,55.0,0.028,6926.24,,,False
L10186,2025-12-08,Zillow,A100,Priya Sharma,Single Family,Maple Grove,386476.39,Showing Scheduled,False,,,,,Chose competitor,3.0,False
L10187,2025-04-17,Walk-in,A106,Divya Kapoor,Townhouse,Lakeview,385708.03,Contacted,False,,,,,Price too high,7.0,False
L10188,2025-06-09,Zillow,A104,Sneha Rao,Townhouse,Maple Grove,313159.75,Contacted,False,,,,,Went cold / unresponsive,27.0,True
L10189,2025-03-10,Referral,A106,Divya Kapoor,Single Family,Riverside Heights,563588.62,Offer Made,False,,,,,Went cold / unresponsive,4.0,False
L10190,2025-11-23,Referral,A102,Ananya Iyer,Single Family,Maple Grove,398662.49,Showing Scheduled,False,,,,,Chose competitor,5.0,False
L10191,2025-03-06,Zillow,A111,Sameer Khan,Condo,Maple Grove,262042.82,Closed,True,2025-04-07,32.0,0.028,7337.2,,,False
L10192,2025-02-28,Social Media,A106,Divya Kapoor,Townhouse,Lakeview,375399.83,Closed,True,2025-04-03,34.0,0.028,10511.2,,,False
L10193,2025-09-27,Referral,A104,Sneha Rao,Townhouse,Sunset Hills,280388.98,Showing Scheduled,False,,,,,Went cold / unresponsive,0.0,False
L10194,2025-02-11,Referral,A106,Divya Kapoor,Multi-Family,Riverside Heights,757896.66,Showing Completed,False,,,,,Chose competitor,14.0,False
